OFNS_DESC,PD_DESC,LAW_CAT_CD,BORO_NM,Longitude,Latitude,TIME
PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,QUEENS,-73.82963795,40.758558753,2016-01-04 22:30:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,-73.95840237600001,40.657351503,2016-01-04 19:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,BROOKLYN,-73.90004715100001,40.676902346,2016-01-04 07:45:00
GRAND LARCENY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",FELONY,BROOKLYN,-73.996556539,40.644554559,2016-01-19 15:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,-73.964526582,40.764377345999996,2016-01-04 20:50:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,BRONX,-73.908013649,40.873671035,2016-01-04 18:39:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BRONX,-73.899534336,40.813897919,2016-01-04 18:15:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,-73.879118717,40.675029537,2016-01-04 03:40:00
CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",MISDEMEANOR,BROOKLYN,-73.935860415,40.677781508,2016-01-03 22:30:00
ADMINISTRATIVE CODE,"ADM.CODE,UNCLASSIFIED MISDEMEA",MISDEMEANOR,QUEENS,-73.742327333,40.71677219,2016-01-03 18:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",VIOLATION,QUEENS,-73.742115302,40.717496335,2016-01-03 17:30:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,BROOKLYN,-73.962260077,40.718830216,2016-01-03 14:30:00
GRAND LARCENY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",FELONY,BRONX,-73.9107764,40.85194616,2016-01-03 11:34:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,MANHATTAN,-73.983674396,40.746796062,2016-01-01 21:30:00
FRAUDS,"FRAUD,UNCLASSIFIED-MISDEMEANOR",MISDEMEANOR,STATEN ISLAND,-74.098356852,40.617028955,2016-01-01 08:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,BRONX,-73.915655054,40.841476026,2016-01-25 09:00:00
THEFT-FRAUD,"FRAUD,UNCLASSIFIED-FELONY",FELONY,MANHATTAN,-73.92923730300001,40.861513269,2016-01-15 09:00:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,-73.998758226,40.645885824000004,2016-01-03 19:00:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BROOKLYN,-73.988710557,40.694599577,2016-01-03 16:45:00
MISCELLANEOUS PENAL LAW,CRIMINAL CONTEMPT 1,FELONY,QUEENS,-73.81950147100001,40.68952623,2016-01-03 14:30:00
PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",MISDEMEANOR,BRONX,-73.888578231,40.828410168000005,2016-01-03 10:00:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,MANHATTAN,-73.965785787,40.758641213000004,2016-01-03 09:30:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,-73.987515755,40.58523345,2016-01-03 06:35:00
ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,MISDEMEANOR,BRONX,-73.912901422,40.827421047,2016-01-03 02:04:00
GRAND LARCENY,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",FELONY,QUEENS,-73.75159392100001,40.656964536,2016-01-02 17:00:00
GRAND LARCENY OF MOTOR VEHICLE,"LARCENY,GRAND OF AUTO",FELONY,BROOKLYN,-73.975103689,40.687145388000005,2016-01-02 15:00:00
CRIMINAL MISCHIEF & RELATED OF,"MISCHIEF, CRIMINAL 4, OF MOTOR",MISDEMEANOR,BRONX,-73.928660458,40.839810529,2016-01-01 23:00:00
OTHER STATE LAWS (NON PENAL LA,"NY STATE LAWS,UNCLASSIFIED MIS",MISDEMEANOR,MANHATTAN,-74.001253193,40.716344152,2016-01-11 15:00:00
HARRASSMENT 2,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,BRONX,-73.850684927,40.816872438000004,2016-01-02 23:15:00
OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,MISDEMEANOR,BROOKLYN,-73.91820477600001,40.6283944,2016-01-02 12:00:00
FELONY ASSAULT,STRANGULATION 1ST,FELONY,STATEN ISLAND,-74.078338948,40.618608874,2016-01-02 02:35:00
GRAND LARCENY OF MOTOR VEHICLE,"LARCENY,GRAND OF AUTO",FELONY,QUEENS,-73.73008548899999,40.69500001,2016-01-01 17:00:00
VEHICLE AND TRAFFIC LAWS,LEAVING SCENE-ACCIDENT-PERSONA,MISDEMEANOR,BRONX,-73.901466999,40.848123441999995,2016-01-01 06:10:00
PETIT LARCENY,"LARCENY,PETIT BY FALSE PROMISE",MISDEMEANOR,BROOKLYN,-73.93649068100001,40.670895214,2016-01-01 06:00:00
CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",MISDEMEANOR,QUEENS,-73.80413550899999,40.676446932,2016-01-01 04:00:00
PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",MISDEMEANOR,BROOKLYN,-73.958701058,40.722141921,2016-01-01 03:00:00
